pair,split,left,right,n,delta_mrr,seed_1,seed_2,seed_3,direction_head,direction_tail
mkgw_mhyper_native,test,ADC_grid_005,Global,25644,0.0024466486686093203,0.0018368793104666897,0.002707421970065645,0.002795644725295627,0.001116595507441934,0.0037767018297767065
mkgw_mhyper_native,test,ADC_grid_001,Global,25644,0.002505129213342056,0.0018615428911113855,0.0027533077603372354,0.002900536988577548,0.0003340838281360058,0.004676174598548107
mkgw_mhyper_native,test,ADC_continuous,Global,25644,0.002328286452865429,0.0018889276721803343,0.0025151413350855546,0.0025807903513303974,0.0007544994491294404,0.003902073456601417
mkgw_mhyper_native,test,Query-soft_grid_005,Global,25644,0.001877796488910103,0.001724020448291338,0.0023417409600127084,0.0015676280584262638,0.0012359110471218211,0.0025196819306983857
mkgw_mhyper_native,test,Query-soft_grid_001,Global,25644,0.001639197774787626,0.00039361492558297363,0.003080876927296415,0.0014431014714834903,0.0007337579432753354,0.002544637606299917
mkgw_mhyper_native,test,Query-soft_continuous,Global,25644,0.0014590376448304827,0.0006953571716986614,0.0019298038126834992,0.0017519519501092873,0.0011752780903111436,0.0017427971993498213
mkgw_mhyper_native,test,ADC_grid_005,Query-soft_grid_005,25644,0.0005688521796992171,0.000112858862175352,0.0003656810100529367,0.0012280166668693629,-0.00011931553967988693,0.001257019899078321
mkgw_mhyper_native,test,ADC_grid_001,Query-soft_grid_001,25644,0.0008659314385544298,0.0014679279655284124,-0.00032756916695918025,0.0014574355170940579,-0.0003996741151393293,0.0021315369922481893
mkgw_mhyper_native,test,ADC_continuous,Query-soft_continuous,25644,0.0008692488080349462,0.0011935705004816732,0.000585337522402055,0.0008288384012211104,-0.0004207786411817034,0.002159276257251596
mkgw_mhyper_native,test,ADC_grid_001,ADC_grid_005,25644,5.8480544732735836e-05,2.4663580644695954e-05,4.5885790271590374e-05,0.00010489226328192115,-0.0007825116793059281,0.0008994727687713996
mkgw_mhyper_native,test,ADC_continuous,ADC_grid_005,25644,-0.0001183622157438915,5.2048361713644775e-05,-0.0001922806349800905,-0.00021485437396522893,-0.0003620960583124936,0.00012537162682471048
mkgw_mhyper_native,test,Query-soft_grid_001,Query-soft_grid_005,25644,-0.00023859871412247694,-0.0013304055227083642,0.000739135967283707,-0.00012452658694277392,-0.0005021531038464855,2.4955675601531565e-05
mkgw_mhyper_native,test,Query-soft_continuous,Query-soft_grid_005,25644,-0.00041875884407962074,-0.0010286632765926767,-0.00041193714732920913,0.00018432389168302358,-6.0632956810677304e-05,-0.0007768847313485644
mkgw_mhyper_adamf,test,ADC_grid_005,Global,25644,0.001013911612153524,0.0006115379509323375,0.0013205688560498738,0.0011096280294783606,0.0006304136384165554,0.0013974095858904924
mkgw_mhyper_adamf,test,ADC_grid_001,Global,25644,0.0010815939751052752,0.0005790480479599987,0.0015035321799974244,0.0011622016973584029,0.0009507048795940233,0.0012124830706165268
mkgw_mhyper_adamf,test,ADC_continuous,Global,25644,0.0011479268892519506,0.0005836589190348175,0.0015308420678758013,0.001329279680845233,0.0007382838623881969,0.001557569916115704
mkgw_mhyper_adamf,test,Query-soft_grid_005,Global,25644,-0.019103029819497762,-0.022700095015250995,-0.017221827481923344,-0.017387166961318947,-0.012648630756389848,-0.025557428882605673
mkgw_mhyper_adamf,test,Query-soft_grid_001,Global,25644,-0.01911287653788263,-0.02303398774207051,-0.0176935869024247,-0.01661105496915268,-0.012505592058058854,-0.025720161017706408
mkgw_mhyper_adamf,test,Query-soft_continuous,Global,25644,-0.019119754403811015,-0.023719298803654136,-0.01645772218864731,-0.017182242219131606,-0.011933395626310747,-0.026306113181311284
mkgw_mhyper_adamf,test,ADC_grid_005,Query-soft_grid_005,25644,0.020116941431651283,0.023311632966183334,0.018542396337973215,0.01849679499079731,0.013279044394806401,0.026954838468496167
mkgw_mhyper_adamf,test,ADC_grid_001,Query-soft_grid_001,25644,0.020194470512987908,0.02361303579003051,0.019197119082422123,0.017773256666511084,0.013456296937652877,0.026932644088322934
