dataset,pair_id,representation,learner,count,oof_mrr,fold_specific_global_mrr,delta_mrr,clustered_ci95_low,clustered_ci95_high,headroom_recovery,negative_transfer_rate,positive_gain_rate,changed_rate,spearman_pred_u_actual_u,positive_ap,positive_prevalence,positive_ap_lift,harmful_ap,harmful_prevalence,harmful_ap_lift,positive_vs_harmful_auroc,training_gain,oof_gain,train_oof_generalization_gap
db15k,db15k_mhyper_native,X4,nested_selected,47532,0.3847124839900733,0.38258701302410913,0.0021254709659641077,0.0012801139317623813,0.0029931448919193544,0.042870227981237595,0.13635024825380795,0.1842758562652529,0.4220945889085248,0.1672942589577216,0.4871400204885849,0.33864975174619205,0.14849026874239285,0.32225366142632006,0.3122780442649163,0.009975617161403771,0.595731593228709,0.009171959544834024,0.0021254709659641077,0.007046488578869916
db15k,db15k_mhyper_native,X5,nested_selected,47532,0.3847064471718044,0.38258701302410913,0.002119434147695284,0.0014511426097082996,0.0028135141545650396,0.042748466837655756,0.11859378944710931,0.17615501136076747,0.40042497685769585,0.16492623031952156,0.4873930786829567,0.33864975174619205,0.14874332693676467,0.319984700150752,0.3122780442649163,0.007706655885835689,0.5949178715735797,0.007702949037611068,0.002119434147695284,0.005583514889915784
db15k,db15k_mhyper_native,X6,set_encoder,47532,0.3800038284369338,0.38258701302410913,-0.0025831845871753458,-0.003817946560229042,-0.001319140578880846,-0.052102199438699016,0.15852478330387948,0.20937473701927123,0.572582681141126,0.1326789104903812,0.41658721528721315,0.33864975174619205,0.0779374635410211,0.3503188405923461,0.3122780442649163,0.03804079632742979,0.5845125957599865,0.008824815886445047,-0.0025831845871753458,0.011408000473620393
db15k,db15k_mhyper_adamf,X1,nested_selected,47532,0.3827493416554616,0.38258701302410913,0.000162328631352535,-0.00032422412473991937,0.0006695964266108961,0.00357134099295066,0.0941681393587478,0.16363712867121097,0.3319027181688126,0.20138225656423644,0.4973709201754826,0.34707775814188335,0.15029316203359927,0.3724416958244982,0.34694731970041237,0.025494376124085838,0.6120315391670476,0.0028116376283768996,0.000162328631352535,0.0026493089970243645
db15k,db15k_mhyper_adamf,X2,nested_selected,47532,0.3832388898090713,0.38258701302410913,0.0006518767849621269,0.0001398557505207243,0.0011719181234533037,0.014341735435643281,0.09559875452326853,0.14897332323487336,0.3130522595304216,0.2043833226465303,0.49652523804556037,0.34707775814188335,0.14944747990367702,0.3860163474385809,0.34694731970041237,0.039069027738168505,0.6104699390008527,0.004558074735271234,0.0006518767849621269,0.003906197950309107
db15k,db15k_mhyper_adamf,X3,nested_selected,47532,0.3834192377485265,0.38258701302410913,0.0008322247244173829,0.00030538203054137643,0.0013472627978370346,0.018309513539876532,0.09326348565177144,0.1647311285029033,0.34134898594630986,0.2041654048522159,0.49077793375213036,0.34707775814188335,0.143700175610247,0.3869641909962352,0.34694731970041237,0.04001687129582282,0.6086991727947908,0.0044439104513243535,0.0008322247244173829,0.0036116857269069707
db15k,db15k_mhyper_adamf,X4,nested_selected,47532,0.3835113184277701,0.38258701302410913,0.0009243054036609514,0.0003493390317563923,0.001509378041584135,0.020335351506360205,0.09435748548346377,0.16001851384330557,0.3291256416729782,0.2062648715419921,0.49302580929945605,0.34707775814188335,0.1459480511575727,0.38746155862277537,0.34694731970041237,0.040514238922363,0.6093926984114579,0.005039901288203311,0.0009243054036609514,0.00411559588454236
db15k,db15k_mhyper_adamf,X5,nested_selected,47532,0.3836935200988314,0.38258701302410913,0.0011065070747222096,0.0005438672580287255,0.001668804821386423,0.02434391297468199,0.09078094757216192,0.15848270638727593,0.3255911806782799,0.21080873340148915,0.49914246669576845,0.34707775814188335,0.1520647085538851,0.3899430627370159,0.34694731970041237,0.04299574303660353,0.6147532719282863,0.005732770584406722,0.0011065070747222096,0.004626263509684512
db15k,db15k_mhyper_adamf,X6,set_encoder,47532,0.3764022027847242,0.38258701302410913,-0.006184810239384924,-0.007286175812444796,-0.005099694000903889,-0.13607005835937167,0.1352772868804174,0.1963729697887739,0.5354498022384919,0.15790013911359496,0.4261225258771401,0.34707775814188335,0.07904476773525676,0.3943524483550773,0.34694731970041237,0.04740512865466495,0.5942867620819159,0.004719141979255184,-0.006184810239384924,0.010903952218640107
db15k,db15k_native_adamf,X1,nested_selected,47532,0.32155780674942647,0.32102191827913534,0.0005358884702911388,-3.7485188988838424e-06,0.0010824644238929112,0.009312468200959628,0.07651687284355803,0.1655937052932761,0.32405537322225025,0.12619859212688117,0.5105529144717709,0.409632458133468,0.10092045633830288,0.321521703542485,0.3122538500378692,0.009267853504615786,0.5743690961487941,0.00381300759670871,0.0005358884702911388,0.003277119126417571
db15k,db15k_native_adamf,X2,nested_selected,47532,0.3222991050797223,0.32102191827913534,0.0012771868005869878,0.0007848838817968784,0.00179077162303215,0.022194471660661064,0.06635529748380038,0.14499705461583776,0.27528822687873433,0.13274578987536442,0.5235410850981637,0.409632458133468,0.11390862696469567,0.3250249106276079,0.3122538500378692,0.012771060589738703,0.577704774854635,0.004382246661035528,0.0012771868005869878,0.00310505986044854
db15k,db15k_native_adamf,X3,nested_selected,47532,0.322260375315547,0.32102191827913534,0.0012384570364116982,0.0006876847931333303,0.001792093057459506,0.0215214403914548,0.07443406547168223,0.16142809054952453,0.3133467979466465,0.14726269431263148,0.5260951727619982,0.409632458133468,0.11646271462853025,0.3304464224338411,0.3122538500378692,0.018192572395971884,0.5841286661628086,0.005730248192080783,0.0012384570364116982,0.004491791155669085
db15k,db15k_native_adamf,X4,nested_selected,47532,0.32258555522757293,0.32102191827913534,0.0015636369484375956,0.0010390135561791902,0.0021143114399816395,0.02717229454901269,0.07235125809980644,0.16338466717158967,0.31494572077758143,0.15092155056759135,0.5290932597300396,0.409632458133468,0.11946080159657163,0.32985066228192594,0.3122538500378692,0.017596812244056736,0.586058779048998,0.005386386191068076,0.0015636369484375956,0.0038227492426304807
db15k,db15k_native_adamf,X5,nested_selected,47532,0.3220894080769401,0.32102191827913534,0.001067489797804786,0.0006061458871864926,0.0015470989981473955,0.01855043604783126,0.06782798956492468,0.1538542455608853,0.29885130017672307,0.1457766825862873,0.5249675530729622,0.409632458133468,0.11533509493949418,0.32806685156606874,0.3122538500378692,0.015813001528199533,0.5841855850647609,0.004256743824993442,0.001067489797804786,0.0031892540271886557
db15k,db15k_native_adamf,X6,set_encoder,47532,0.3181767010956801,0.32102191827913534,-0.0028452171834552997,-0.004117326029743271,-0.001545877741432611,-0.04944311366011772,0.1625852057561222,0.24859042329378103,0.5853109484137002,0.09665438491491235,0.4590586228249437,0.409632458133468,0.049426164691475705,0.32973824961900683,0.3122538500378692,0.017484399581137622,0.5529674006264721,0.011057673974666893,-0.0028452171834552997,0.013902891158122193
