pair,split,method,n,mrr,global_mrr,delta_mrr,harm_rate,benefit_rate,rank_change_rate,conditional_loss,mean_loss,mean_gain,action_rate,mean_abs_alpha_deviation
db15k_mhyper_native,dev,Query-soft_grid_005,47532,0.36871434905001393,0.38258701302410913,-0.01387266397409518,0.2992510308844568,0.36114617520828074,0.6603972060927376,0.12196640193536763,0.03649857151242677,0.02262590753833159,1.0,0.49257447614238836
db15k_mhyper_native,dev,Query-soft_grid_001,47532,0.3686802827969987,0.38258701302410913,-0.013906730227110425,0.2995034923840781,0.360746444500547,0.6602499368846251,0.12210359705915212,0.03657045375187431,0.022663723524763885,1.0,0.4930728772195574
db15k_mhyper_native,dev,Query-soft_continuous,47532,0.368404226867976,0.38258701302410913,-0.014182786156133154,0.29990322309181183,0.36068332912564166,0.6605865522174535,0.12238297109514754,0.036703047482986785,0.022520261326853634,1.0,0.49312928254666427
db15k_mhyper_adamf,dev,Global,47532,0.38258701302410913,0.38258701302410913,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
db15k_mhyper_adamf,dev,ADC_grid_005,47532,0.38262345634737344,0.38258701302410913,3.644332326432073e-05,0.0009256921652781284,0.0020828073718757887,0.0030084995371539172,0.13457015746291312,0.00012457054044366276,0.00016101386370798347,0.003639653286207187,0.0008794075570142221
db15k_mhyper_adamf,dev,ADC_grid_001,47532,0.3826307258996219,0.38258701302410913,4.371287551273286e-05,0.0009467306235799041,0.002061768913574013,0.0030084995371539172,0.12195295413182881,0.00011545659631263775,0.00015916947182537062,0.003639653286207187,0.0008663637128671211
db15k_mhyper_adamf,dev,ADC_continuous,47532,0.3826309879781552,0.38258701302410913,4.397495404605782e-05,0.0009677690818816798,0.002061768913574013,0.003029537995455693,0.13027058526619312,0.0001260718446992528,0.0001700467987453106,0.003639653286207187,0.0008670414276447054
db15k_mhyper_adamf,dev,Query-soft_grid_005,47532,0.3464933102978435,0.38258701302410913,-0.036093702726265636,0.34124379365480095,0.36648994361693177,0.7077337372717327,0.16857062849909876,0.057523680767806576,0.021429978041540943,1.0,0.49417971051081383
db15k_mhyper_adamf,dev,Query-soft_grid_001,47532,0.34673001893850297,0.38258701302410913,-0.035856994085606234,0.34092821678027435,0.3675839434486241,0.7085121602288984,0.16876646429979025,0.057537249726039325,0.021680255640433087,1.0,0.4941784482033157
db15k_mhyper_adamf,dev,Query-soft_continuous,47532,0.34682951435161646,0.38258701302410913,-0.03575749867249274,0.340675755280653,0.36741563578220987,0.7080913910628629,0.16826084737343633,0.05732239126310809,0.021564892590615357,1.0,0.49416017522676026
mkgw_mhyper_native,test,Global,25644,0.36466512265731504,0.36466512265731504,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
