pair,split,method,n_observations,mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,unchanged_query_rate,mean_harm,mean_benefit,median_delta_rr,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters,bootstrap_samples,bootstrap_seed,cluster_unit,delta_mrr_ci95,harmful_query_rate_ci95,mean_harm_ci95
mkgw_mhyper_native,test,ADC,25644,0.3671117713259244,0.0024466486686093203,0.15149742629854937,0.1941974730931212,0.6543051006083295,0.03606094302748472,0.04073064701196698,0.0,3885,4980,16779,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[0.0014807172804721213, 0.00342506575742872]","[0.1451411636250195, 0.15781469349555452]","[0.032025761303965616, 0.04024551477686488]"
mkgw_mhyper_native,test,Query-soft,25644,0.3665429191462251,0.0018777964889101033,0.1635470285446888,0.29020433629698955,0.5462486351583217,0.03282727593084427,0.02497068105557264,0.0,4194,7442,14008,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[0.0009369901550959101, 0.002786702699478533]","[0.15722976134768366, 0.16966931835907034]","[0.029259122424709988, 0.03661700412724491]"
mkgw_mhyper_native,test,Relation,25644,0.36892126595360974,0.004256143296294675,0.2682108875370457,0.3344642021525503,0.397324910310404,0.053800909323868135,0.05586885776142541,0.0,6878,8577,10189,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[0.0024923314676552773, 0.006023784040261113]","[0.25978786460770553, 0.2765178989237248]","[0.049875371326753716, 0.05786327793936253]"
mkgw_mhyper_native,test,DynaSemble,25644,0.3479573141877264,-0.016707808469588553,0.3113398845733895,0.3858212447356107,0.30283887069099985,0.1365169882980095,0.06685835801265202,0.0,7984,9894,7766,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.019640540163664674, -0.01383663883725189]","[0.3033068164092965, 0.31937392762439554]","[0.1298001116674527, 0.1433152895587543]"
mkgw_native_adamf,dev,Global,25656,0.3351917203389468,0.0,0.0,0.0,1.0,,,0.0,0,0,25656,4276,,,,,,
mkgw_native_adamf,dev,ADC,25656,0.3354981127729137,0.00030639243396677517,0.00966635484876832,0.016058621764889303,0.9742750233863424,0.08766604194156416,0.0718494725421347,0.0,248,412,24996,4276,,,,,,
mkgw_native_adamf,dev,Query-soft,25656,0.318612576187062,-0.01657914415188482,0.40130963517305895,0.3138836919239164,0.28480667290302464,0.10091843741436471,0.07620783673879825,0.0,10296,8053,7307,4276,,,,,,
mkgw_native_adamf,dev,Relation,25656,0.33758904687252367,0.0023973265335768133,0.11985500467726848,0.12780636108512627,0.7523386342376053,0.05331266746365696,0.06875335833979623,0.0,3075,3279,19302,4276,,,,,,
mkgw_native_adamf,test,Global,25644,0.3441270090599749,0.0,0.0,0.0,1.0,,,0.0,0,0,25644,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[0.0, 0.0]","[0.0, 0.0]","[None, None]"
mkgw_native_adamf,test,ADC,25644,0.3442659286460116,0.00013891958603661354,0.009163936983309936,0.0156761815629387,0.9751598814537513,0.09279438885062805,0.06310730160253858,0.0,235,402,25007,4274,10000.0,20260910.0,original raw triple; all available seeds and directions retained,"[-0.0002486347921282147, 0.0005471264919978267]","[0.007643113398845734, 0.01072375604429886]","[0.06882362200404064, 0.11983032418226505]"
