dataset,pair_id,scope,relation_id,direction,n_queries,n_original_triples,positive_opportunities,toward_a,toward_b,direction_consistency,signed_direction_preference,supported,support_min
mkg_y,mkg_y_mhyper_native,relation_x_direction,18,head,18,6,10,0,10,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,18,tail,18,6,9,3,6,0.6666666666666666,-0.3333333333333333,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,19,head,3,1,1,1,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,19,tail,3,1,1,1,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,20,head,3,1,2,0,2,1.0,-1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,20,tail,3,1,2,2,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,21,head,9,3,3,2,1,0.6666666666666666,0.3333333333333333,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,21,tail,9,3,4,4,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,22,head,6,2,6,3,3,0.5,0.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,22,tail,6,2,4,1,3,0.75,-0.5,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,23,head,21,7,21,6,15,0.7142857142857143,-0.42857142857142855,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,23,tail,21,7,20,8,12,0.6,-0.2,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,24,head,3,1,0,0,0,,,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,24,tail,3,1,2,2,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,25,head,6,2,3,3,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,25,tail,6,2,3,3,0,1.0,1.0,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,26,head,3,1,0,0,0,,,False,60
mkg_y,mkg_y_mhyper_native,relation_x_direction,26,tail,3,1,1,0,1,1.0,-1.0,False,60
