dataset,pair_id,global_alpha,alpha,delta_alpha,mean_utility,positive_rate,zero_rate,negative_rate
mkg_y,mkg_y_mhyper_adamf,0.35,0.45,0.10000000000000003,-0.0013126497721059427,0.15484677923702314,0.3751094434021263,0.4700437773608505
mkg_y,mkg_y_mhyper_adamf,0.35,0.5,0.15000000000000002,-0.0012052564814318432,0.15547217010631645,0.3607879924953096,0.483739837398374
mkg_y,mkg_y_mhyper_adamf,0.35,0.55,0.20000000000000007,-0.0024458538291278063,0.1549718574108818,0.35021888680425267,0.49480925578486556
mkg_y,mkg_y_mhyper_adamf,0.35,0.6,0.25,-0.0008517254698930668,0.15747342088805502,0.34021263289555975,0.5023139462163853
mkg_y,mkg_y_mhyper_adamf,0.35,0.65,0.30000000000000004,-0.0011013142141366127,0.158411507191995,0.3323952470293934,0.5091932457786116
mkg_y,mkg_y_mhyper_adamf,0.35,0.7,0.35,-0.0009914873169272202,0.15916197623514697,0.32532833020637897,0.5155096935584741
mkg_y,mkg_y_mhyper_adamf,0.35,0.75,0.4,-0.0011416403474202475,0.16022514071294558,0.3188868042526579,0.5208880550343965
mkg_y,mkg_y_mhyper_adamf,0.35,0.8,0.45000000000000007,-0.0007395372681815974,0.15997498436522828,0.3133833646028768,0.526641651031895
mkg_y,mkg_y_mhyper_adamf,0.35,0.85,0.5,-0.0003877221225813694,0.16022514071294558,0.3075046904315197,0.5322701688555347
mkg_y,mkg_y_mhyper_adamf,0.35,0.9,0.55,-0.0003078529378938271,0.15897435897435896,0.30475297060662915,0.5362726704190118
mkg_y,mkg_y_mhyper_adamf,0.35,0.95,0.6,-0.00029922179449092825,0.1574108818011257,0.29931207004377736,0.5432770481550969
mkg_y,mkg_y_mhyper_adamf,0.35,1.0,0.65,-0.0014271154246151916,0.15265791119449656,0.29587242026266414,0.5514696685428393
mkg_y,mkg_y_native_adamf,0.55,0.0,-0.55,-0.020638133260598955,0.33095684803001874,0.2864915572232645,0.3825515947467167
mkg_y,mkg_y_native_adamf,0.55,0.05,-0.5,-0.006840985794723665,0.33464665415884925,0.31688555347091935,0.3484677923702314
mkg_y,mkg_y_native_adamf,0.55,0.1,-0.45000000000000007,-0.006737945365822708,0.3339587242026266,0.32501563477173234,0.34102564102564104
mkg_y,mkg_y_native_adamf,0.55,0.15,-0.4,-0.004672953240250952,0.3383364602876798,0.3290806754221388,0.33258286429018136
mkg_y,mkg_y_native_adamf,0.55,0.2,-0.35000000000000003,-0.005009671307225353,0.33708567854909316,0.33802376485303315,0.3248905565978737
mkg_y,mkg_y_native_adamf,0.55,0.25,-0.30000000000000004,-0.0037034276870764205,0.3384615384615385,0.34346466541588494,0.31807379612257664
mkg_y,mkg_y_native_adamf,0.55,0.3,-0.25000000000000006,-0.002469685071279585,0.33858661663539713,0.35403377110694184,0.30737961225766103
mkg_y,mkg_y_native_adamf,0.55,0.35,-0.20000000000000007,-0.0032433380035982876,0.3344590368980613,0.36729205753595995,0.2982489055659787
mkg_y,mkg_y_native_adamf,0.55,0.4,-0.15000000000000002,-0.0017377892781251312,0.334208880550344,0.3780487804878049,0.28774233896185114
mkg_y,mkg_y_native_adamf,0.55,0.45,-0.10000000000000003,-0.0012977823700038903,0.32889305816135084,0.3951219512195122,0.27598499061913695
mkg_y,mkg_y_native_adamf,0.55,0.5,-0.050000000000000044,-0.0009151660339912506,0.3151344590368981,0.42338961851156975,0.26147592245153223
mkg_y,mkg_y_native_adamf,0.55,0.55,0.0,0.0,0.0,1.0,0.0
mkg_y,mkg_y_native_adamf,0.55,0.6,0.04999999999999993,-0.00011346473034413773,0.2533458411507192,0.4228893058161351,0.3237648530331457
mkg_y,mkg_y_native_adamf,0.55,0.65,0.09999999999999998,-0.00046537952023712555,0.2604127579737336,0.39243277048155095,0.34715447154471546
mkg_y,mkg_y_native_adamf,0.55,0.7,0.1499999999999999,-0.0005431387611954273,0.2637273295809881,0.3774233896185116,0.3588492808005003
mkg_y,mkg_y_native_adamf,0.55,0.75,0.19999999999999996,-0.0009786624585087398,0.2651031894934334,0.3649155722326454,0.3699812382739212
mkg_y,mkg_y_native_adamf,0.55,0.8,0.25,-0.0015235585156521594,0.2652282676672921,0.3574108818011257,0.37736085053158225
mkg_y,mkg_y_native_adamf,0.55,0.85,0.29999999999999993,-0.000933633755555518,0.26504065040650404,0.35121951219512193,0.383739837398374
mkg_y,mkg_y_native_adamf,0.55,0.9,0.35,-0.001651981369931511,0.26541588492808005,0.34352720450281427,0.3910569105691057
mkg_y,mkg_y_native_adamf,0.55,0.95,0.3999999999999999,-0.0015881661567985208,0.26460287679799877,0.3390869293308318,0.3963101938711695
mkg_y,mkg_y_native_adamf,0.55,1.0,0.44999999999999996,-0.01717791134657806,0.2606629143214509,0.3054409005628518,0.43389618511569733
